0.6283,25,20.703,214.3,0.073549,31.41,2488,1519,0.6283
13.18,25,28.391,2855,0.86383,36.62,2678,1990,13.18
25.74,25,36.313,417.7,0.24437,34.63,1498,1034,25.74
38.29,25,43.969,314.4,0.16024,37.28,1743,1327,38.29
50.84,25,51.578,350.8,0.16397,38.82,1961,1578,50.84
63.4,25,59.188,377.7,0.16773,40.43,2127,1812,63.4
75.95,25,66.672,399.9,0.17119,42.13,2255,2039,75.95
88.5,25,74.297,418.7,0.17608,43.95,2313,2230,88.5
101.1,25,81.703,439.4,0.17919,45.58,2362,2410,101.1
113.6,25,89.125,467.2,0.18217,46.74,2415,2567,113.6
126.2,25,96.485,504.7,0.18428,47.44,2493,2715,126.2
138.7,25,104.02,554.7,0.18645,47.85,2583,2853,138.7
151.3,25,111.39,618.4,0.18845,48.12,2681,2990,151.3
163.8,25,118.86,697.3,0.1907,48.37,2770,3117,163.8
176.4,25,126.38,791.6,0.19305,48.63,2846,3232,176.4
188.9,25,133.84,900.4,0.1951,48.89,2919,3346,188.9
201.5,25,141.19,1023,0.19691,49.16,2999,3469,201.5
214,25,148.5,1162,0.19932,49.44,3062,3577,214
226.6,25,155.97,1313,0.20155,49.67,3125,3681,226.6
239.1,25,163.47,1477,0.2039,49.94,3181,3783,239.1
251.7,25,170.75,1657,0.20637,50.2,3229,3876,251.7
264.3,25,178.16,1857,0.20931,50.52,3241,3934,264.3
276.8,25,185.41,2052,0.21091,50.74,3292,4028,276.8
289.4,25,192.91,2280,0.21417,51.08,3292,4077,289.4
301.9,25,200.2,2492,0.21597,51.07,3371,4173,301.9
314.5,25,207.72,2725,0.21883,51.2,3429,4265,314.5
327,25,215.14,2980,0.22222,51.4,3456,4329,327
339.6,25,222.58,3257,0.22547,51.79,3431,4358,339.6
352.1,25,230.2,3528,0.22817,52.01,3444,4409,352.1
364.7,25,237.92,3808,0.23119,52.18,3474,4476,364.7
377.2,25,245.17,4099,0.23434,52.38,3510,4553,377.2
389.8,25,252.52,4429,0.23797,52.82,3457,4557,389.8
402.3,25,259.84,4730,0.24101,52.95,3505,4643,402.3
414.9,25,267.11,5056,0.24452,53.22,3528,4720,414.9
427.5,25,274.36,5376,0.24739,53.71,3573,4866,427.5
440,25,281.67,5731,0.25254,53.44,3679,4961,440
452.6,25,289.03,6097,0.25803,52.72,3768,4950,452.6
465.1,25,296.27,6441,0.2615,52.48,3807,4958,465.1
477.7,25,303.77,6794,0.26614,52.08,3912,5021,477.7
490.2,25,311.03,7191,0.27139,51.61,3933,4965,490.2
502.8,25,318.53,7554,0.27446,52.24,3876,5003,502.8
515.3,25,325.98,7964,0.27994,52.51,3914,5103,515.3
527.9,25,333.3,8405,0.28724,51.56,4056,5111,527.9
540.4,25,340.61,8809,0.29199,51.25,4045,5039,540.4
553,25,347.98,9220,0.2972,51.19,4077,5068,553
565.5,25,355.47,9661,0.30439,50.59,4195,5107,565.5
578.1,25,362.81,10110,0.31253,49.61,4273,5022,578.1
590.7,25,370.34,10550,0.32077,48.52,4352,4923,590.7
603.2,25,377.69,10980,0.3282,48.2,4261,4765,603.2
615.8,25,384.98,11430,0.33508,49.58,3976,4668,615.8
628.3,25,392.45,11920,0.34724,51.82,3920,4985,628.3
